year,offense_name,total_population,total_male,total_female,m_0_9,m_10_12,m_13_14,m_15,m_16,m_17,f_0_9,f_10_12,f_13_14,f_15,f_16,f_17,race_population,white,black,asian_pacific_islander,american_indian
2008,Vagrancy,240194764,2216,889,6,104,498,574,702,332,,44,263,252,254,76,239340967,2437,645,16,7
2008,Vandalism,240194764,73345,11332,1433,7325,20621,14141,14911,14914,152,1230,3358,2039,2247,2306,239340967,66421,15744,1142,989
2008,Weapons,240194764,28383,3026,364,2131,6180,5095,6675,7938,30,302,863,616,638,577,239340967,18859,11860,363,229
2007,Arson,235465952,4956,662,338,930,1671,846,628,543,25,105,243,119,107,63,234827513,4281,1173,92,50
2007,Aggravated Assault,235465952,34339,10347,424,2762,7434,6206,8092,9421,49,658,2705,2142,2426,2367,234827513,25363,18192,525,477
2007,Simple Assault,235465952,124920,63392,1874,13272,33477,23790,26600,25907,387,4995,18661,13509,13867,11973,234827513,110253,73453,2070,1971
2007,Burglary,235465952,56311,7314,567,3563,12748,11457,13320,14656,87,489,1731,1563,1617,1827,234827513,41367,20791,668,647
2007,Curfew and Loitering Law Violations,235465952,77462,34547,349,3412,15825,17446,21884,18546,113,1428,8474,8527,9098,6907,234827513,71488,37898,1388,988
2007,Disorderly Conduct,235465952,105549,52465,935,9436,28135,21183,23305,22555,225,4075,16508,11879,11096,8682,234827513,90740,64032,1187,1669
2007,Drug Abuse Violations,235465952,127384,23965,231,1829,15623,21310,35312,53079,51,458,4003,4451,6303,8699,234827513,104113,44077,1430,1327
2007,Drunkenness,235465952,9894,3368,65,54,787,1494,2343,5151,11,31,483,668,829,1346,234827513,11825,1015,107,273
2007,Drive Under the Influence,235465952,10593,3374,152,12,138,399,2423,7469,43,4,55,159,868,2245,234827513,12886,612,144,251
2007,Embezzlement,235465952,773,547,3,8,20,43,242,457,3,4,11,14,170,345,234827513,773,508,29,10
2007,Offenses Against the Family and Children,235465952,2732,1744,71,175,560,472,665,789,49,78,409,384,427,397,234827513,3219,1090,33,86
2007,Forgery and Counterfeiting,235465952,1661,770,18,39,159,205,404,836,8,18,67,86,209,382,234827513,1750,612,37,22
2007,Fraud,235465952,3767,2099,35,71,463,599,982,1617,21,65,264,305,519,925,234827513,3711,1950,82,81
2007,Gambling,235465952,1569,31,4,12,208,284,418,643,3,,3,5,14,6,234827513,69,1520,10,1
2007,Murder and Nonnegligent Homicide,235465952,967,78,1,6,90,121,283,466,,,9,16,17,36,234827513,421,596,12,15
2007,Liquor Laws,235465952,69308,41520,80,318,4618,9457,19695,35140,34,328,4592,7387,11976,17203,234827513,100157,5643,1312,3087
2007,Larceny,235465952,134919,102104,1352,10163,32031,26379,31192,33802,485,5910,23782,20807,24988,26132,234827513,156586,71818,4497,3048
2007,Manslaughter by Negligence,235465952,70,15,,2,16,8,16,28,,,2,,7,6,234827513,57,25,,2
2007,Motor Vehicle Theft,235465952,19456,3900,31,433,3710,4466,5407,5409,3,101,898,946,1039,913,234827513,12624,9926,416,349
2007,All Other Offenses,235465952,218108,78585,1800,9510,40494,42682,55430,68192,525,3088,17500,17618,19905,19949,234827513,207443,79406,5257,3424
2007,Prostitution and Commercialized Vice,235465952,264,919,6,10,21,31,64,132,10,4,96,156,257,396,234827513,484,678,9,9
2007,Robbery,235465952,24439,2624,66,722,4325,4960,6743,7623,7,79,556,552,685,745,234827513,8284,18286,339,126
2007,Rape,235465952,2700,51,9,237,673,463,599,719,1,3,25,7,8,7,234827513,1688,994,28,25
2007,Runaway,235465952,39211,50258,415,2251,10142,9648,10607,6148,209,1903,13694,13036,14020,7396,234827513,60028,22955,4509,1773
2007,Sex Offenses,235465952,10825,1146,241,1435,3570,1879,1821,1879,31,141,338,231,228,177,234827513,8392,3338,109,82
2007,Stolen Property,235465952,14149,3128,67,509,2767,2888,3705,4213,13,171,715,705,740,784,234827513,9424,7465,204,136
2007,Suspicion,235465952,235,77,,13,46,41,79,56,,2,17,16,28,14,234827513,207,102,,3
2007,Vagrancy,235465952,2091,860,12,95,492,529,636,327,3,47,260,242,232,76,234827513,2284,636,12,19
2007,Vandalism,235465952,75953,11799,1524,7783,21428,15113,15412,14693,198,1210,3490,2145,2335,2421,234827513,68659,16409,1216,1101
2007,Weapons,235465952,30559,3296,405,2282,6805,5702,7053,8312,41,283,957,674,713,628,234827513,20437,12668,428,262
2006,Arson,228414560,5294,844,323,1026,1728,918,770,529,36,109,333,163,116,87,228003319,4848,1108,104,56
2006,Aggravated Assault,228414560,35064,10662,410,2891,7920,6458,8225,9160,29,724,2872,2248,2445,2344,228003319,25472,19006,559,572
2006,Simple Assault,228414560,125754,63694,1939,13880,34144,23850,26420,25521,373,5093,19158,13745,13704,11621,228003319,111698,72769,2072,2130
2006,Burglary,228414560,56080,7044,636,3579,13459,11557,13291,13558,97,560,1826,1415,1541,1605,228003319,41776,19745,725,687
2006,Curfew and Loitering Law Violations,228414560,80355,36340,334,3501,17249,18402,22631,18238,118,1684,9186,8887,9541,6924,228003319,71409,42884,1307,894
2006,Disorderly Conduct,228414560,106451,52333,1026,10197,28875,21675,22923,21755,217,4356,16901,11814,10665,8380,228003319,91890,63266,1278,1923
2006,Drug Abuse Violations,228414560,124610,23646,233,1895,15652,21154,35137,50539,45,499,4230,4451,6242,8179,228003319,101150,44094,1342,1219
2006,Drunkenness,228414560,9387,3141,47,48,778,1432,2194,4888,9,20,493,588,785,1246,228003319,11173,1007,114,208
2006,Drive Under the Influence,228414560,11248,3427,181,6,116,454,2759,7732,57,5,54,132,907,2272,228003319,13668,514,171,250
2006,Embezzlement,228414560,587,476,2,7,16,31,176,355,,3,13,11,141,308,228003319,638,401,17,6
2006,Offenses Against the Family and Children,228414560,2459,1576,72,188,470,480,617,632,40,83,419,352,346,336,228003319,3029,901,41,49
2006,Forgery and Counterfeiting,228414560,1781,886,5,32,164,256,477,847,13,19,58,102,240,454,228003319,1958,630,40,23
2006,Fraud,228414560,3885,2035,22,98,496,585,1067,1617,13,37,258,294,549,884,228003319,3778,2001,65,45
2006,Gambling,228414560,1571,55,3,16,205,319,393,635,,,18,5,11,21,228003319,140,1477,8,1
2006,Murder and Nonnegligent Homicide,228414560,916,54,,8,69,143,273,423,,1,5,9,14,25,228003319,379,573,12,6
2006,Liquor Laws,228414560,68821,39291,79,352,4646,9533,20077,34134,36,327,4503,6992,11442,15991,228003319,97888,5230,1340,3001
2006,Larceny,228414560,127121,87695,1420,10786,32087,24909,28276,29643,494,5725,22153,18261,20406,20656,228003319,144778,62223,4037,2640
2006,Manslaughter by Negligence,228414560,62,16,,3,5,12,13,29,,1,,1,2,12,228003319,60,17,1,
2006,Motor Vehicle Theft,228414560,21717,4366,43,538,4333,5042,5921,5840,2,102,1077,1143,1070,972,228003319,14057,11122,544,292
2006,All Other Offenses,228414560,214708,78232,1740,9711,40987,42559,54307,65404,425,3404,18289,17590,19581,18943,228003319,209192,74687,4518,3281
2006,Prostitution and Commercialized Vice,228414560,323,901,4,10,27,35,86,161,9,4,110,138,270,370,228003319,541,659,13,10
2006,Robbery,228414560,24167,2515,65,816,4568,5090,6524,7104,8,75,594,571,613,654,228003319,8251,17950,318,121
2006,Rape,228414560,2596,46,13,211,719,448,565,640,3,6,12,5,13,7,228003319,1678,897,22,30
2006,Runaway,228414560,37452,49049,407,2413,9583,9348,9945,5756,224,2047,14014,12794,12932,7038,228003319,59427,21232,4087,1608
2006,Sex Offenses,228414560,10773,1156,250,1408,3498,1896,1882,1839,37,127,343,249,214,186,228003319,8485,3178,116,91
2006,Stolen Property,228414560,13825,2369,63,520,2780,2794,3535,4133,5,119,543,514,570,618,228003319,9045,6757,186,123
2006,Suspicion,228414560,248,68,1,7,39,53,70,78,,3,20,15,19,11,228003319,205,108,3,
2006,Vagrancy,228414560,2617,1136,14,134,639,658,791,381,2,78,358,297,281,120,228003319,2889,825,22,17
2006,Vandalism,228414560,78104,11895,1648,8396,21802,15098,16214,14946,175,1269,3501,2206,2420,2324,228003319,70582,16905,1143,989
2006,Weapons,228414560,31894,3585,351,2602,7449,5890,7313,8289,27,338,1089,795,675,661,228003319,21640,13003,444,291
2005,Arson,230188113,5411,865,325,1046,1874,900,675,591,25,133,335,179,119,74,227823799,4932,1154,77,64
2005,Aggravated Assault,230188113,35749,11216,503,3068,8589,6599,8105,8885,78,805,3068,2359,2542,2364,227823799,26043,19617,489,494
2005,Simple Assault,230188113,128538,63670,2096,14895,35807,24608,26034,25098,399,5513,19835,13594,13241,11088,227823799,111831,74642,2084,2163
2005,Burglary,230188113,53298,6810,628,3996,12864,10950,11944,12916,98,581,1875,1391,1408,1457,227823799,39932,18525,586,596
2005,Curfew and Loitering Law Violations,230188113,76082,33289,351,3536,16538,17081,21384,17192,102,1658,8572,8118,8621,6218,227823799,67709,39201,1298,952
2005,Disorderly Conduct,230188113,106950,52010,1015,10500,30116,21692,22323,21304,239,4403,17300,11890,10305,7873,227823799,91900,62957,1235,1984
2005,Drug Abuse Violations,230188113,121997,24958,239,1900,16008,21310,33903,48637,40,605,4816,4854,6330,8313,227823799,100571,42440,1339,1341
2005,Drunkenness,230188113,9125,2853,54,81,798,1365,2147,4680,6,29,451,606,687,1074,227823799,10263,969,99,231
2005,Drive Under the Influence,230188113,10638,2986,58,17,112,410,2586,7455,16,1,40,135,747,2047,227823799,12361,522,130,231
2005,Embezzlement,230188113,499,392,3,12,28,25,154,277,,,8,13,107,264,227823799,558,303,17,8
2005,Offenses Against the Family and Children,230188113,2665,1714,63,192,585,503,601,721,35,97,416,372,393,401,227823799,3251,959,16,100
2005,Forgery and Counterfeiting,230188113,2206,1031,13,42,231,305,612,1003,6,19,87,127,252,540,227823799,2367,753,51,18
2005,Fraud,230188113,3972,2173,35,97,556,539,1058,1687,39,50,309,294,519,962,227823799,3895,2063,66,32
2005,Gambling,230188113,1448,35,1,18,183,264,391,591,,,5,9,7,14,227823799,110,1358,14,
2005,Murder and Nonnegligent Homicide,230188113,873,95,,8,79,136,222,428,,2,12,18,27,36,227823799,408,527,10,18
2005,Liquor Laws,230188113,62111,34915,86,298,4203,8693,17632,31199,30,294,4188,6475,9967,13961,227823799,88037,4558,916,2673
2005,Larceny,230188113,133365,96332,1570,12082,34463,25971,29007,30272,556,6835,25398,19921,21902,21720,227823799,156521,63988,4263,3330
2005,Manslaughter by Negligence,230188113,56,12,,2,8,8,11,27,,,2,1,1,8,227823799,54,13,,1
2005,Motor Vehicle Theft,230188113,24064,4929,75,603,4802,5611,6493,6480,11,130,1170,1288,1251,1079,227823799,15352,12642,465,367
2005,All Other Offenses,230188113,207735,78435,1947,9871,40685,40754,51682,62796,530,3688,19021,17939,18784,18473,227823799,201758,74177,4184,3691
2005,Prostitution and Commercialized Vice,230188113,323,896,4,4,32,40,80,163,7,6,112,141,246,384,227823799,504,682,20,9
2005,Robbery,230188113,20260,2096,65,695,3857,4314,5463,5866,8,83,472,485,485,563,227823799,6795,15108,292,105
2005,Rape,230188113,3019,69,12,309,793,513,614,778,1,9,22,13,14,10,227823799,1947,1054,19,31
2005,Runaway,230188113,36879,50979,437,2605,9824,8960,9506,5547,294,2183,14940,13674,12926,6962,227823799,61930,20513,3502,1623
2005,Sex Offenses,230188113,11732,1189,289,1693,3909,1995,1922,1924,38,150,387,224,218,172,227823799,9041,3431,117,111
2005,Stolen Property,230188113,14254,2851,73,612,2909,2855,3728,4077,13,133,630,559,714,802,227823799,9300,7253,202,156
2005,Suspicion,230188113,286,114,1,13,49,57,70,96,1,4,29,22,23,35,227823799,253,144,1,2
2005,Vagrancy,230188113,2530,929,3,112,640,616,728,431,2,44,291,244,243,105,227823799,2735,686,26,12
2005,Vandalism,230188113,69540,11104,1629,7961,19283,13123,14003,13541,200,1304,3337,2008,2144,2111,227823799,62294,15727,888,992
2005,Weapons,230188113,30772,3696,328,2442,7427,5890,6886,7799,19,344,1188,832,721,592,227823799,20944,12715,420,267
2004,Arson,222125207,4983,786,336,1080,1641,807,649,470,36,123,333,139,98,57,221052350,4510,1094,77,59
2004,Aggravated Assault,222125207,34518,10710,527,3151,8294,6253,7632,8661,75,813,3009,2300,2325,2188,221052350,26224,17857,521,502
2004,Simple Assault,222125207,125957,63132,2316,15962,36002,22912,24871,23894,460,6030,20021,13328,12656,10637,221052350,112966,71469,2245,1925
2004,Burglary,222125207,53797,7074,811,4378,13606,10373,11936,12693,131,641,1878,1402,1575,1447,221052350,42429,16893,710,725
2004,Curfew and Loitering Law Violations,222125207,69708,31375,300,3421,15671,15391,19463,15462,100,1536,8365,7559,8190,5625,221052350,66567,32353,1359,689
2004,Disorderly Conduct,222125207,101480,48888,1134,10703,29232,19813,20673,19925,264,4544,16542,10832,9486,7220,221052350,91306,55841,1233,1684
2004,Drug Abuse Violations,222125207,119510,25003,261,2159,16468,20584,32679,47359,38,687,5135,4834,6084,8225,221052350,102302,39400,1298,1211
2004,Drunkenness,222125207,9659,2907,57,77,832,1386,2277,5030,8,47,493,600,711,1048,221052350,11198,999,101,245
2004,Drive Under the Influence,222125207,11449,3052,82,16,138,436,2805,7972,16,3,64,130,862,1977,221052350,13489,533,170,239
2004,Embezzlement,222125207,477,299,6,5,18,32,112,304,2,2,7,19,79,190,221052350,522,222,20,10
2004,Offenses Against the Family and Children,222125207,2883,1718,78,267,685,533,598,722,29,117,483,363,396,330,221052350,3372,1144,24,48
2004,Forgery and Counterfeiting,222125207,2412,1270,13,76,293,343,613,1074,17,34,120,162,311,626,221052350,2855,724,54,37
2004,Fraud,222125207,3617,2080,42,118,476,564,899,1518,45,58,269,298,537,873,221052350,3881,1656,85,53
2004,Gambling,222125207,1163,41,11,11,149,207,327,458,1,3,9,6,9,13,221052350,158,1033,13,
2004,Murder and Nonnegligent Homicide,222125207,751,78,1,6,71,114,242,317,1,2,17,14,14,30,221052350,384,423,11,7
2004,Liquor Laws,222125207,62709,34335,104,331,4747,8765,17773,30989,28,404,4424,6506,9694,13279,221052350,88473,4450,1150,2548
2004,Larceny,222125207,143108,102582,1907,14297,38017,27233,29754,31900,584,8220,28659,20724,22775,21620,221052350,169347,67044,4893,3483
2004,Manslaughter by Negligence,222125207,55,28,,,4,6,20,25,,3,6,3,6,10,221052350,72,10,1,
2004,Motor Vehicle Theft,222125207,24034,4953,58,619,4973,5647,6404,6333,4,163,1312,1225,1192,1057,221052350,16368,11653,529,378
2004,All Other Offenses,222125207,204024,78262,2392,11098,41267,38553,50406,60308,760,3979,20158,17053,18547,17765,221052350,206562,67100,4190,3546
2004,Prostitution and Commercialized Vice,222125207,377,933,4,8,31,50,102,182,5,5,103,143,256,421,221052350,588,685,22,13
2004,Robbery,222125207,17173,1827,53,692,3401,3433,4566,5028,7,87,401,360,453,519,221052350,6543,12095,270,71
2004,Rape,222125207,3100,85,26,290,842,539,602,801,1,18,31,17,14,4,221052350,2005,1106,25,43
2004,Runaway,222125207,36204,52122,564,2565,9590,8881,9372,5232,364,2374,16053,13753,13035,6543,221052350,64303,18848,3597,1410
2004,Sex Offenses,222125207,12271,1194,330,1828,4159,2074,1806,2074,40,162,383,253,195,161,221052350,9639,3498,165,94
2004,Stolen Property,222125207,14566,2909,74,703,3111,2867,3554,4257,16,124,684,682,668,735,221052350,9714,7329,224,156
2004,Suspicion,222125207,467,175,3,19,91,104,116,134,2,6,46,46,44,31,221052350,406,189,34,12
2004,Vagrancy,222125207,2414,954,16,79,630,636,707,346,1,33,272,274,290,84,221052350,2583,745,29,10
2004,Vandalism,222125207,66763,11135,1832,8393,18812,11808,13214,12704,215,1403,3406,2038,2097,1976,221052350,61813,13994,879,932
2004,Weapons,222125207,27066,3464,361,2332,6757,4915,5722,6979,30,325,1094,776,661,578,221052350,19570,10206,423,260
2003,Arson,219455987,5306,758,353,1088,1803,887,655,520,30,122,317,134,108,47,218978486,4896,1040,54,59
2003,Aggravated Assault,219455987,35056,10886,529,3426,8479,6248,7571,8803,74,934,3169,2127,2256,2326,218978486,26793,17941,593,459
2003,Simple Assault,219455987,124034,59948,2483,15811,35053,22370,24055,24262,472,5789,19035,12446,11796,10410,218978486,111380,68078,2236,1891
2003,Burglary,219455987,56200,7419,983,4965,13801,10857,12297,13297,138,746,2053,1413,1486,1583,218978486,44881,16988,821,805
2003,Curfew and Loitering Law Violations,219455987,71169,31265,418,3774,15471,15444,19992,16070,115,1557,8248,7491,8089,5765,218978486,69146,30881,1386,813
2003,Disorderly Conduct,219455987,104187,46942,1239,11385,28884,20257,21336,21086,263,4294,16017,10285,8981,7102,218978486,93052,54619,1367,1586
2003,Drug Abuse Violations,219455987,122000,24028,267,2318,16885,20942,32980,48608,71,740,4814,4539,5896,7968,218978486,104640,38421,1400,1283
2003,Drunkenness,219455987,9842,2990,64,79,875,1389,2333,5102,9,37,567,589,698,1090,218978486,11355,1076,105,264
2003,Drive Under the Influence,219455987,12040,3062,101,9,147,485,2845,8453,24,7,71,157,828,1975,218978486,14099,575,142,247
2003,Embezzlement,219455987,539,361,5,5,28,35,155,311,,2,15,11,111,222,218978486,608,269,17,3
2003,Offenses Against the Family and Children,219455987,3136,1985,102,276,699,534,678,847,39,150,532,377,462,425,218978486,3854,1090,80,85
2003,Forgery and Counterfeiting,219455987,2259,1249,18,44,250,295,601,1051,8,14,109,181,300,637,218978486,2690,730,51,32
2003,Fraud,219455987,4036,2036,42,123,570,594,990,1717,42,58,264,307,500,865,218978486,4026,1907,87,37
2003,Gambling,219455987,1202,34,4,18,152,262,298,468,,3,2,4,10,15,218978486,145,1067,21,3
2003,Murder and Nonnegligent Homicide,219455987,850,110,1,11,102,142,231,363,,4,21,17,27,41,218978486,443,484,22,10
2003,Liquor Laws,219455987,66692,35788,119,374,4556,9036,19106,33501,31,319,4407,6582,10034,14415,218978486,93697,4392,1133,2879
2003,Larceny,219455987,151567,97896,2364,16606,39415,27778,31624,33780,769,8659,27018,19253,21473,20724,218978486,171880,68133,4948,3633
2003,Manslaughter by Negligence,219455987,89,14,1,2,7,13,22,44,,,3,1,4,6,218978486,82,16,4,
2003,Motor Vehicle Theft,219455987,26847,5475,54,740,5610,6212,7098,7133,7,181,1450,1402,1337,1098,218978486,18176,12948,700,450
2003,All Other Offenses,219455987,209392,78973,2618,11952,41351,39497,50697,63277,700,4148,19803,17365,18802,18155,218978486,210591,68216,5036,3643
2003,Prostitution and Commercialized Vice,219455987,333,780,5,6,34,44,83,161,2,5,97,133,190,353,218978486,581,512,15,4
2003,Robbery,219455987,17296,1653,81,788,3384,3382,4480,5181,10,77,385,370,377,434,218978486,6586,11951,286,97
2003,Rape,219455987,3126,68,26,272,867,547,603,811,3,16,23,8,9,9,218978486,1995,1115,28,49
2003,Runaway,219455987,37624,53700,602,2722,10010,9011,9743,5536,338,2573,16708,14131,13178,6772,218978486,66923,18408,4188,1526
2003,Sex Offenses,219455987,12460,1289,373,1864,4110,2127,1963,2023,62,184,454,236,189,164,218978486,9579,3830,183,107
2003,Stolen Property,219455987,15917,2741,98,827,3276,3043,3852,4821,17,180,694,534,645,671,218978486,10307,7856,272,170
2003,Suspicion,219455987,327,101,5,22,58,71,78,93,1,6,20,21,27,26,218978486,292,129,,6
2003,Vagrancy,219455987,1201,408,9,56,227,254,290,365,1,25,81,88,81,132,218978486,993,600,8,8
2003,Vandalism,219455987,69568,11165,2251,9048,18948,12027,13489,13805,230,1451,3473,1939,2006,2066,218978486,64079,14509,910,999
2003,Weapons,219455987,26212,3288,376,2384,6474,4754,5598,6626,32,327,1075,653,638,563,218978486,19197,9566,483,204
2002,Arson,220019017,5504,702,552,1287,1680,786,626,573,38,149,262,113,81,59,219595763,4936,1146,58,54
2002,Aggravated Assault,220019017,35762,11207,652,3742,8236,6193,7820,9119,89,919,3235,2218,2449,2297,219595763,27909,17837,599,529
2002,Simple Assault,220019017,121668,57992,2475,15557,33825,21511,24033,24267,490,5917,18066,11766,11646,10107,219595763,111145,63882,2259,1996
2002,Burglary,220019017,57852,7303,1092,5411,14189,10669,12619,13872,137,795,2103,1443,1368,1457,219595763,46347,17085,908,720
2002,Curfew and Loitering Law Violations,220019017,72336,32849,393,3547,15394,15780,20805,16417,133,1673,8458,7968,8838,5779,219595763,71925,30407,1624,1128
2002,Disorderly Conduct,220019017,101895,43968,1296,10965,27651,19479,20815,21689,252,4184,14544,9455,8606,6927,219595763,92142,50576,1177,1756
2002,Drug Abuse Violations,220019017,121059,22820,277,2107,15945,20450,33940,48340,57,668,4384,4323,5940,7448,219595763,102354,38470,1609,1185
2002,Drunkenness,220019017,10890,3012,76,100,903,1587,2636,5588,13,48,579,568,712,1092,219595763,12485,1039,100,259
2002,Drive Under the Influence,220019017,12776,3070,144,17,151,511,3145,8808,28,7,94,153,818,1970,219595763,14693,677,144,281
2002,Embezzlement,220019017,631,437,2,10,50,54,147,368,,10,18,20,128,261,219595763,723,322,21,1
2002,Offenses Against the Family and Children,220019017,4234,2729,220,417,943,754,915,985,143,257,671,600,552,506,219595763,5077,1686,125,57
2002,Forgery and Counterfeiting,220019017,2481,1357,26,34,256,336,704,1125,14,34,110,159,353,687,219595763,2973,762,62,33
2002,Fraud,220019017,4475,2209,58,152,584,602,1112,1967,50,69,299,305,549,937,219595763,4348,2184,86,48
2002,Gambling,220019017,1134,34,,28,140,208,321,437,,5,3,6,7,13,219595763,129,1005,33,
2002,Murder and Nonnegligent Homicide,220019017,906,105,,14,75,131,252,434,,4,14,19,29,39,219595763,459,516,17,18
2002,Liquor Laws,220019017,72566,37000,117,377,4874,9623,20997,36578,40,397,4664,6666,10718,14515,219595763,100421,4824,1081,2876
2002,Larceny,220019017,157478,102022,2814,17549,40159,28241,33399,35316,944,9399,28354,19960,22236,21129,219595763,179881,69822,5468,3641
2002,Manslaughter by Negligence,220019017,84,19,1,4,6,9,25,39,1,,1,3,5,9,219595763,79,19,4,1
2002,Motor Vehicle Theft,220019017,29186,5975,72,897,6038,6754,7817,7608,5,184,1709,1579,1412,1086,219595763,19617,14302,736,450
2002,All Other Offenses,220019017,218116,80873,2689,12531,41444,40123,54378,66951,736,4307,20151,17649,19298,18732,219595763,220878,68590,5083,3571
2002,Prostitution and Commercialized Vice,220019017,384,744,2,18,53,45,107,159,,8,93,129,184,330,219595763,490,619,12,6
2002,Robbery,220019017,17789,1701,85,802,3386,3392,4508,5616,9,74,438,349,395,436,219595763,7289,11726,370,94
2002,Rape,220019017,3436,112,41,334,885,574,691,911,7,15,35,19,19,17,219595763,2165,1303,33,40
2002,Runaway,220019017,37526,55834,706,2815,9912,8910,9899,5284,441,2819,17511,14515,13802,6746,219595763,70452,17002,4533,1251
2002,Sex Offenses,220019017,13222,1317,411,2078,4439,2190,2003,2101,48,177,462,264,206,160,219595763,10338,3898,172,108
2002,Stolen Property,220019017,16584,3130,126,845,3273,3120,4073,5147,24,182,808,593,730,793,219595763,11072,8166,276,153
2002,Suspicion,220019017,872,397,6,44,179,159,229,255,1,14,78,88,92,124,219595763,897,347,17,7
2002,Vagrancy,220019017,1191,357,9,49,240,221,310,362,1,14,101,78,65,98,219595763,1166,355,11,15
2002,Vandalism,220019017,68908,10854,2405,9209,18137,11898,13706,13553,278,1396,3198,1909,2048,2025,219595763,63839,13833,972,931
2002,Weapons,220019017,23781,2982,425,1993,5487,4242,5127,6507,24,303,920,658,582,495,219595763,17526,8615,354,217
2001,Arson,215369937,5777,749,651,1373,1724,826,670,533,53,135,280,112,100,69,214977919,5289,1095,64,66
2001,Aggravated Assault,215369937,38593,11867,859,4127,9039,6860,8277,9431,91,1025,3365,2411,2537,2438,214977919,29856,19339,673,482
2001,Simple Assault,215369937,123110,57466,3089,16915,33692,21762,23893,23759,525,6021,18197,11633,11348,9742,214977919,111733,64366,2091,1976
2001,Burglary,215369937,58127,7832,1295,5892,14400,10963,12399,13178,176,932,2248,1474,1513,1489,214977919,47173,17048,869,771
2001,Curfew and Loitering Law Violations,215369937,71077,32001,443,3590,14888,15687,20482,15987,135,1508,8265,7773,8584,5736,214977919,72841,27568,1567,934
2001,Disorderly Conduct,215369937,92973,38716,1347,10101,24416,17753,19253,20103,223,3802,12507,8617,7480,6087,214977919,79703,49481,1094,1200
2001,Drug Abuse Violations,215369937,134047,23749,246,2470,17868,23406,37942,52115,56,756,4818,4485,6091,7543,214977919,109500,45165,1674,1212
2001,Drunkenness,215369937,11319,3053,113,113,976,1556,2819,5742,16,44,584,583,765,1061,214977919,12879,1104,89,252
2001,Drive Under the Influence,215369937,11422,2508,90,26,161,521,2927,7697,17,3,68,142,750,1528,214977919,12929,606,126,240
2001,Embezzlement,215369937,838,625,4,19,69,80,232,434,1,6,29,33,201,355,214977919,1025,405,25,6
2001,Offenses Against the Family and Children,215369937,4255,2450,182,433,894,804,960,982,93,204,658,522,578,395,214977919,5204,1319,113,49
2001,Forgery and Counterfeiting,215369937,2957,1557,16,62,238,382,841,1418,8,36,126,198,427,762,214977919,3349,1031,96,33
2001,Fraud,215369937,9078,3749,32,379,2046,2169,1707,2745,22,192,961,943,649,982,214977919,6795,5551,381,74
2001,Gambling,215369937,1253,44,3,14,130,220,346,540,,,15,6,8,15,214977919,230,1056,10,1
2001,Murder and Nonnegligent Homicide,215369937,958,111,6,14,88,130,255,465,,,15,18,32,46,214977919,446,542,51,29
2001,Liquor Laws,215369937,69449,32256,127,356,4546,9278,20543,34599,50,346,4068,5945,9479,12368,214977919,91835,6031,825,2661
2001,Larceny,215369937,157723,101363,3064,18028,40514,28735,32820,34562,1025,9922,28084,19989,21855,20488,214977919,175884,73756,5269,3575
2001,Manslaughter by Negligence,215369937,74,12,1,4,5,9,23,32,,,1,2,6,3,214977919,61,20,3,2
2001,Motor Vehicle Theft,215369937,30272,6052,68,907,6210,7063,8219,7805,4,210,1702,1593,1398,1145,214977919,19969,15241,597,450
2001,All Other Offenses,215369937,225251,77763,3474,13550,42120,41208,56358,68541,876,4508,19474,17074,18601,17230,214977919,219907,74700,4415,3282
2001,Prostitution and Commercialized Vice,215369937,388,870,3,11,47,35,89,203,1,6,105,147,237,374,214977919,561,670,13,12
2001,Robbery,215369937,21288,2122,105,1095,4101,4156,5488,6343,5,119,549,466,479,504,214977919,8628,14250,413,106
2001,Rape,215369937,3452,53,40,345,904,564,736,863,1,5,14,14,9,10,214977919,2043,1389,37,25
2001,Runaway,215369937,39267,57248,706,3061,10423,10048,9989,5040,504,3171,18229,15501,13763,6080,214977919,73010,17996,4169,1176
2001,Sex Offenses,215369937,13110,1041,442,2270,4441,2058,1914,1985,58,173,323,190,149,148,214977919,9485,4357,180,93
2001,Stolen Property,215369937,16689,3236,118,888,3254,3197,4140,5092,21,166,775,674,778,822,214977919,11188,8229,300,150
2001,Suspicion,215369937,560,309,17,36,118,127,135,127,3,16,97,72,88,33,214977919,577,286,3,2
2001,Vagrancy,215369937,2001,551,8,71,311,332,556,723,2,28,105,108,150,158,214977919,1744,786,11,11
2001,Vandalism,215369937,68965,10349,2836,9394,17859,11887,13759,13230,259,1371,3141,1778,1905,1895,214977919,62903,14404,913,902
2001,Weapons,215369937,26042,3251,464,2227,5864,4747,5753,6987,38,352,1058,637,629,537,214977919,18577,10041,409,229
2000,Arson,204743363,5411,732,621,1276,1586,766,627,535,53,181,275,100,69,54,204368087,4788,1187,67,65
2000,Aggravated Assault,204743363,38144,11676,773,3786,8868,6649,8199,9869,111,996,3290,2285,2415,2579,204368087,29265,19169,748,514
2000,Simple Assault,204743363,118281,53376,3118,15902,32261,20699,22460,23841,549,5533,16831,10763,10313,9387,204368087,108514,58493,2108,1975
2000,Burglary,204743363,60180,7819,1464,5912,15485,11458,12385,13476,216,894,2315,1562,1464,1368,204368087,48670,17397,981,742
2000,Curfew and Loitering Law Violations,204743363,76007,34693,529,3596,16141,16800,21350,17591,174,1667,9023,8506,9014,6309,204368087,79897,26971,2156,1443
