name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Nia Coffey,Forward,55,11,10.8,1.2,3.6,0.347,0,0.2,0.222,1.2,3.4,0.353,1.1,1.6,0.644,0.7,1.4,2.1,0.4,0.3,0.2,1,1.5,3.6
Claire Coggins,Guard,20,0,9.8,1,3.9,0.247,0.5,2.5,0.2,0.5,1.4,0.333,0.1,0.2,0.25,0.2,0.7,0.8,0.4,0.3,0.1,1,1.4,2.5
Monique Coker,Forward-Center,3,0,4.7,0.3,0.3,1,0.3,0.3,1,0,0,,0,0,,0.3,0,0.3,1,0,0.3,1,0.7,1
Courtney Coleman,Forward,20,0,7.1,0.6,1,0.55,0,0,,0.6,1,0.55,0.7,1.5,0.467,0.4,0.7,1.1,0.1,0.4,0.1,0.7,0.9,1.8
Marissa Coleman,Guard-Forward,319,162,21,2.3,6.3,0.371,1,2.9,0.342,1.3,3.4,0.395,1.1,1.4,0.762,0.8,2.3,3.1,1.3,0.7,0.3,1.2,1.7,6.7
Nadia Colhado,Center,27,0,6.4,0.9,1.8,0.51,0,0,,0.9,1.8,0.51,0.1,0.3,0.286,0.2,1,1.2,0.1,0.2,0.4,0.4,1.3,1.9
Katrina Colleton,Forward,104,60,21,1.9,5.4,0.355,0.2,0.6,0.288,1.7,4.7,0.365,0.9,1.2,0.711,0.6,1.1,1.7,1.4,0.8,0.3,1.3,1.6,4.9
Sydney Colson,Guard,114,9,13.5,1.2,3.1,0.396,0.1,0.6,0.254,1.1,2.6,0.428,0.9,1.2,0.754,0.2,0.8,1,2.2,0.7,0.1,1.2,1.5,3.5
Megan Compain,Guard,4,0,4.8,0,0.8,0,0,0.5,0,0,0.3,0,0,0,,0,0.3,0.3,0.5,1,0.3,0.8,1,0
Andrea Congreaves,Forward-Center,84,58,21.9,2.1,4.3,0.485,0.6,1.6,0.353,1.5,2.6,0.566,1.3,1.5,0.815,1.2,2.5,3.6,1.3,0.6,0.2,1.2,2.1,6
Cara Consuegra,Guard,15,0,3.3,0,0.3,0,0,0.1,0,0,0.2,0,0.1,0.3,0.5,0.1,0.3,0.4,0.7,0.3,0,0.7,0.3,0.1
Camille Cooper,Center,27,1,6.3,0.7,1.5,0.475,0,0,,0.7,1.5,0.475,0.6,0.8,0.714,0.4,0.6,1,0.1,0.1,0.3,0.5,1.3,2
Cynthia Cooper,Guard,124,124,35.2,6.5,14.1,0.459,1.9,5.1,0.377,4.5,9,0.505,6.1,7,0.871,0.8,2.5,3.3,4.9,1.6,0.3,3.4,2.1,21
Kahleah Copper,Guard-Forward,97,15,15.4,2.4,5.6,0.426,0.5,1.3,0.375,1.9,4.3,0.442,1.4,1.8,0.791,0.4,2,2.4,0.6,0.4,0.1,1,1.6,6.7
Carla Cortijo,Guard,29,1,11.2,1.7,4.7,0.368,0.5,1.6,0.298,1.2,3.1,0.404,1,1.2,0.778,0.1,1.3,1.5,1.6,0.3,0,1,1.2,4.9
Sylvia Crawley,Forward,128,101,25.3,3.3,7.6,0.436,0.1,0.2,0.35,3.3,7.5,0.438,1.5,2.1,0.716,1.7,3.2,4.9,1.2,0.7,0.8,2,2.7,8.2
Willnett Crockett,Forward,5,1,8.2,0.6,1.6,0.375,0,0,,0.6,1.6,0.375,0.6,1,0.6,0.8,1.4,2.2,0,0.8,0.2,0.2,2.8,1.8
Danielle Crockrom,Forward,18,0,4.7,0.6,1.6,0.357,0,0.1,0,0.6,1.5,0.37,0.5,0.7,0.75,0.3,0.4,0.7,0.1,0,0.1,0.2,0.4,1.6
Katie Cronin,Guard-Forward,11,0,12.1,0.8,2.7,0.3,0.4,1.2,0.308,0.5,1.5,0.294,0.2,0.6,0.286,0.3,0.8,1.1,0.2,0.5,0.2,1,1.6,2.2
Cassandra Crumpton-Moorer,Guard,2,0,5.5,0.5,2,0.25,0,0.5,0,0.5,1.5,0.333,0,0,,0.5,0.5,1,0.5,0,0,0.5,0,1
Anna Cruz,Guard,62,51,26.2,3,6.5,0.466,0.4,1.4,0.314,2.6,5.1,0.508,0.9,1.2,0.753,0.4,2.9,3.3,3.2,1.1,0.2,2,1.8,7.4
