name,position,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Begona Garcia,Guard,8,0,8,0.3,1.4,0.182,0.3,0.8,0.333,0,0.6,0,0.3,0.5,0.5,0,0.5,0.5,1.1,0.4,0,1.4,1,1
Kerri Gardin,Forward,120,43,14.4,1.1,3.2,0.332,0.3,1,0.281,0.8,2.3,0.354,0.8,1.4,0.579,1,1.9,3,1,0.7,0.4,1,1.4,3.2
Andrea Gardner,Forward-Center,52,2,7.2,0.8,2.1,0.374,0,0,,0.8,2.1,0.374,0.7,1.2,0.548,1,1.1,2.1,0.2,0.1,0.1,0.5,1.2,2.2
Andrea Garner,Forward-Center,32,19,17.5,1.2,3.6,0.328,0,0.1,0.5,1.2,3.6,0.325,0.8,1.2,0.632,1.3,1.7,3.1,0.8,0.8,0.3,1.3,1.4,3.2
Markeisha Gatling,Center,81,7,11,1.5,2.8,0.537,0,0,,1.5,2.8,0.537,0.8,0.9,0.842,0.8,1.8,2.6,0.2,0.2,0.4,0.8,2.1,3.8
Pietra Gay,Guard-Forward,5,0,2.4,0.2,0.4,0.5,0,0,,0.2,0.4,0.5,0.4,1,0.4,0,0.6,0.6,0.4,0.2,0,0.8,0.6,0.8
Cornelia Gayden,Guard,3,0,2.3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0,0,,0,0,0,0.3,0,0,0,0,0.7
Katie Gearlds,Guard-Forward,87,3,13.2,1.5,4,0.382,0.9,2.4,0.38,0.6,1.6,0.384,0.5,0.6,0.808,0.3,1.1,1.4,0.6,0.3,0.1,0.5,0.7,4.4
Jacki Gemelos,Guard,17,0,5,0.5,1.2,0.4,0.2,0.6,0.3,0.3,0.6,0.5,0,0.1,0,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.2,1.1
Cayla George,Center,89,3,11.9,1.6,3.9,0.413,0.5,1.6,0.29,1.1,2.2,0.503,0.3,0.5,0.738,0.6,2.3,2.9,0.6,0.3,0.4,0.6,1.8,4
Kim Gessig,Forward,1,0,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,2,0
Kelley Gibson,Forward-Guard,100,8,8.5,0.6,1.7,0.318,0.3,0.9,0.341,0.3,0.9,0.294,0.3,0.4,0.722,0.2,0.6,0.8,0.4,0.2,0.2,0.5,0.7,1.7
Briana Gilbreath-Butler,Guard,54,32,20,1.6,4.3,0.368,0.5,1.7,0.297,1.1,2.6,0.413,0.6,0.8,0.698,0.7,2.1,2.9,1.1,0.6,0.4,0.8,1.5,4.2
Jennifer Gillom,Forward-Center,216,193,27.3,4.9,11.4,0.426,0.7,2.2,0.325,4.1,9.2,0.45,3,3.9,0.759,1.3,3.2,4.5,1.2,1,0.5,2,2.9,13.4
Usha Gilmore,Guard,4,0,5.3,0.3,1.3,0.2,0,0.3,0,0.3,1,0.25,0,0,,0.8,0.5,1.3,0.5,0,0,1,1.5,0.5
Kamela Gissendanner,Forward,2,0,7,0,2,0,0,0.5,0,0,1.5,0,0,0,,1,0,1,0,0,0,0.5,1,0
Chrissy Givens,Guard,3,0,3.3,0,0.7,0,0,0,,0,0.7,0,0.7,0.7,1,0,0,0,0.7,0,0,0.7,0.7,0.7
Emilie Gomis,Guard,2,0,7.5,0,2,0,0,1,0,0,1,0,1.5,2,0.75,0,0,0,0,0.5,0,0.5,1.5,1.5
Sasha Goodlett,Center,101,21,10.2,1.1,2.5,0.44,0,0,,1.1,2.5,0.44,0.5,0.7,0.743,0.7,1.1,1.9,0.2,0.2,0.4,0.5,1,2.7
Angel Goodrich,Guard,82,21,14.9,1.2,2.9,0.426,0.1,0.5,0.273,1.1,2.4,0.461,0.3,0.5,0.538,0.3,1,1.3,2.2,0.7,0,1.2,0.8,2.9
Adrienne Goodson,Forward,221,182,29.2,4.8,10.9,0.438,0.2,0.9,0.245,4.5,10,0.455,2.5,3.4,0.744,2.2,2.9,5.1,2,0.9,0.1,2.5,2.3,12.2
Bridgette Gordon,Forward,50,33,24.7,3.2,7.5,0.424,0.2,1,0.229,3,6.5,0.453,1.9,2.5,0.756,1.6,1.7,3.3,1.7,0.9,0.2,2.3,1.7,8.4
Gillian Goring,Center,21,0,7.4,0.9,2.1,0.422,0,0,0,0.9,2.1,0.432,0.8,1,0.762,0.8,1.2,2,0.1,0.2,0.6,0.2,1.3,2.6
Shaunzinski Gortman,Guard,78,2,11,1,2.6,0.378,0.3,1,0.28,0.7,1.6,0.437,0.3,0.4,0.774,0.4,1.4,1.9,0.7,0.4,0.1,0.9,1.3,2.5
Margo Graham,Center,10,0,4.9,0.8,1.9,0.421,0,0,,0.8,1.9,0.421,0.3,0.6,0.5,0.8,0.5,1.3,0.1,0.1,0.1,0.8,1.4,1.9
Erin Grant,Guard,17,2,12.4,0.5,1.4,0.391,0,0.1,0,0.5,1.2,0.429,0.4,0.6,0.7,0.4,0.7,1.1,2.2,0.4,0,0.6,1.2,1.5
Bashaara Graves,Forward,22,0,6,0.6,1.3,0.448,0,0,,0.6,1.3,0.448,0.2,0.3,0.571,0.4,0.8,1.2,0.3,0.1,0,0.4,0.5,1.4
Denique Graves,Center,22,0,3.9,0.3,1.2,0.222,0,0,,0.3,1.2,0.222,0.2,0.4,0.5,0.1,0.5,0.7,0,0,0.3,0.5,0.7,0.7
Allisha Gray,Guard,68,68,26.9,3.7,9.4,0.389,1,3.4,0.285,2.7,6.1,0.447,2.8,3.3,0.828,1.4,2.3,3.7,1.9,1.4,0.4,1.3,2.2,11.1
Chelsea Gray,Guard,135,69,24.6,4,8.3,0.476,0.9,2.4,0.401,3,5.9,0.506,1.8,2.2,0.82,0.5,2.2,2.7,3.6,0.9,0.2,1.8,1.6,10.6
Reshanda Gray,Forward,55,6,10.1,1.4,2.7,0.503,0,0,0,1.4,2.7,0.507,1,1.5,0.631,0.8,1.5,2.3,0.2,0.2,0.2,0.7,2.2,3.7
Alexis Gray-Lawson,Guard,46,0,13.6,1.4,4,0.341,0.5,1.8,0.259,0.9,2.3,0.404,0.9,1.2,0.778,0.4,0.8,1.3,1.3,0.3,0.1,0.8,1.5,4.1
Michelle Greco,Guard,13,0,5.6,0.8,1.4,0.556,0,0.2,0,0.8,1.2,0.625,0.7,1,0.692,0.2,0.5,0.8,0.6,0.2,0,0.6,0.5,2.2
Kalana Greene,Guard,167,101,18.6,1.7,4,0.422,0.2,0.8,0.275,1.5,3.2,0.458,0.7,1,0.684,0.6,1.9,2.5,1.2,0.8,0.3,0.8,1.4,4.3
Nikki Greene,Forward-Center,23,0,6,0.3,0.9,0.3,0,0,,0.3,0.9,0.3,0.3,0.3,0.875,0.5,1,1.5,0.1,0.2,0.3,0.5,1.3,0.8
Cisti Greenwalt,Center,5,0,4.8,0,1.4,0,0,0,,0,1.4,0,0.4,0.8,0.5,0.4,1.2,1.6,0,0,0,0,1.8,0.4
Vedrana Grgin-Fonseca,Forward,54,7,9,1.1,2.9,0.361,0.2,0.9,0.25,0.8,2,0.409,0.5,0.7,0.625,0.5,0.8,1.2,0.5,0.1,0,0.7,0.9,2.8
Kelsey Griffin,Forward,164,71,18,1.7,4.6,0.376,0.2,1,0.256,1.5,3.7,0.407,1.2,1.6,0.734,1.4,2.7,4.2,0.8,0.9,0.5,0.8,1.9,4.9
Yolanda Griffith,Center-Forward,311,306,28.8,4.8,9.6,0.506,0,0,0,4.8,9.5,0.507,4,5.6,0.713,3.4,4.5,7.9,1.5,1.7,1,2.1,3.2,13.6
Brittney Griner,Center,181,181,30.2,6.4,11.4,0.561,0,0,0.25,6.4,11.4,0.561,3.9,4.9,0.797,1.6,5.7,7.4,1.5,0.5,3.2,2.1,3.2,16.7
Lady Grooms,Forward,245,92,18.1,1.6,3.9,0.409,0,0.1,0.095,1.6,3.8,0.416,1.4,1.8,0.741,0.9,1.2,2.1,1.2,0.5,0.1,1.2,1.1,4.6
Gordana Grubin,Guard,134,78,21.1,2.7,7.1,0.38,0.9,2.5,0.339,1.9,4.6,0.403,1.3,1.7,0.754,0.5,1.5,2,2.2,0.7,0,1.6,1.5,7.6
Sandrine Gruda,Forward-Center,133,32,18,3,6.6,0.457,0,0.1,0.182,3,6.5,0.461,1.5,2.3,0.654,1.5,2.3,3.8,0.9,0.6,0.7,1.5,1.8,7.6
Marie Gulich,Center,23,0,5,0.6,1.3,0.483,0,0,,0.6,1.3,0.483,0.3,0.3,0.75,0.4,0.6,1,0.1,0,0.3,0.6,0.8,1.5
Wanda Guyton,Center,37,26,21.1,1.6,3.8,0.436,0,0,,1.6,3.8,0.436,1.4,2.3,0.607,2.3,2.1,4.4,0.4,0.8,0.3,1.5,2.9,4.7
Jazmon Gwathmey,Guard,60,20,15.8,1.6,4.8,0.339,0.4,1.6,0.247,1.3,3.3,0.383,0.9,1.2,0.718,0.5,1.4,1.8,0.8,0.4,0.5,0.9,2.2,4.5
Mikiko Hagiwara,Guard,36,7,11.6,0.9,3,0.308,0.6,2,0.288,0.3,0.9,0.353,0.3,0.5,0.579,0.2,0.5,0.7,0.6,0.1,0.1,0.6,0.6,2.7
Kamesha Hairston,Forward,17,0,8.7,0.6,2.4,0.244,0.2,0.7,0.25,0.4,1.7,0.241,0.5,0.7,0.75,0.8,0.9,1.8,0.4,0.4,0,0.5,1.5,1.9
Amber Hall,Forward,20,0,5.2,0.6,1.2,0.458,0,0,,0.6,1.2,0.458,0.4,0.8,0.5,0.4,0.9,1.3,0.1,0.4,0.1,0.6,0.6,1.5
Vicki Hall,Forward,62,16,15.2,1.6,4.2,0.389,0.3,1.1,0.25,1.4,3.1,0.438,0.6,1,0.617,0.6,1.7,2.3,0.6,0.4,0.2,0.7,1.5,4.2
Angie Hamblin,Guard-Forward,6,0,4.8,0.3,1.3,0.25,0.2,0.3,0.5,0.2,1,0.167,0.2,0.3,0.5,0.3,0.8,1.2,0.3,0.2,0,1.2,0.7,1
Ruth Hamblin,Center,20,0,6.5,0.4,1.6,0.25,0,0,,0.4,1.6,0.25,0.3,0.4,0.714,0.5,1,1.5,0.2,0.1,0.5,0.2,0.7,1.1
Dearica Hamby,Forward,123,44,19,2.8,6.4,0.438,0.2,0.7,0.286,2.6,5.7,0.456,1.7,2.6,0.672,1.3,2.9,4.2,1,0.6,0.3,1.3,1.9,7.5
Becky Hammon,Guard,450,329,27.9,4.3,9.7,0.438,1.8,4.9,0.378,2.4,4.8,0.498,2.6,2.9,0.897,0.4,2.1,2.5,3.8,1.1,0.1,2.7,1.6,13
Keisha Hampton,Forward,46,1,7.2,0.9,2.5,0.374,0.6,1.6,0.375,0.3,0.9,0.372,0.6,0.6,0.897,0.2,0.2,0.5,0.3,0.3,0.1,0.3,1,3
Kym Hampton,Center,90,90,25.2,3.4,7.6,0.45,0,0,0.25,3.4,7.6,0.451,2.4,3.5,0.697,1.8,4,5.8,1,1,0.6,1.8,3,9.3
Jennifer Hamson,Center,37,2,6.7,0.7,1.3,0.553,0,0,,0.7,1.3,0.553,0.4,1,0.389,0.6,1.1,1.7,0.2,0.2,0.6,0.3,0.9,1.8
Romana Hamzova,Guard,15,0,2.9,0.1,0.7,0.182,0,0.2,0,0.1,0.5,0.25,0.2,0.4,0.5,0.1,0.1,0.2,0.3,0.3,0,0.3,0.3,0.5
Alex Harden,Guard,60,1,10,0.7,2.2,0.326,0.2,0.6,0.257,0.6,1.6,0.351,0.2,0.3,0.867,0.4,0.8,1.1,0.7,0.6,0.3,0.6,1.1,1.8
Lindsey Harding,Guard,270,210,28.7,3.7,8.9,0.414,0.3,1.2,0.252,3.4,7.7,0.438,2.1,2.8,0.755,0.5,2.4,2.9,4,1.1,0.2,2.2,1.8,9.8
Laura Harper,Forward-Center,67,12,15.2,1.6,3.7,0.434,0,0,,1.6,3.7,0.434,1.8,2.8,0.649,1.8,1.9,3.7,0.5,0.4,0.6,1.3,2.2,5
Linnae Harper,Guard,24,0,6.1,0.8,2,0.404,0.2,0.5,0.308,0.6,1.4,0.441,0.3,0.4,0.6,0.2,0.6,0.8,1,0.2,0,0.4,0.6,2
Donna Harrington,Forward,8,0,8.4,0.1,0.8,0.167,0,0,,0.1,0.8,0.167,0.8,1.3,0.6,0.5,0.6,1.1,0.6,0.3,0.1,1.4,2,1
Amber Harris,Forward,112,1,8.4,1,2.6,0.394,0.1,0.4,0.209,0.9,2.2,0.426,0.5,0.7,0.707,0.5,1.2,1.8,0.5,0.2,0.3,0.4,0.9,2.7
Fran Harris,Guard-Forward,43,13,16.8,1.5,4.3,0.349,0.3,0.9,0.325,1.2,3.4,0.356,0.7,1,0.744,0.7,1.5,2.2,1.3,0.7,0.1,1.1,1.4,4.1
Isabelle Harrison,Center,60,34,18.3,3.3,6.5,0.504,0,0,0.5,3.2,6.4,0.504,1.3,2,0.645,1.5,2.9,4.4,0.8,0.7,0.5,1.4,2.3,7.8
Lisa Harrison,Forward,187,138,24.2,2.5,5.4,0.466,0.1,0.2,0.35,2.4,5.1,0.471,0.9,1.2,0.776,1.2,2.4,3.6,1.2,0.8,0.1,1.1,1.8,6
Kristi Harrower,Guard,189,70,18.1,1.2,3.2,0.367,0.5,1.5,0.316,0.7,1.7,0.412,0.7,0.9,0.76,0.3,1.3,1.7,2.4,0.7,0.1,1.2,1,3.6
Bria Hartley,Guard,151,78,21,2.7,7,0.382,0.9,2.9,0.322,1.7,4.1,0.424,1.3,1.8,0.758,0.4,1.7,2.1,2.6,0.6,0.1,1.7,1.7,7.6
Jasmine Hassell,Forward,24,0,7.6,0.7,2.2,0.308,0,0,0,0.7,2.1,0.314,0.3,0.7,0.471,0.4,0.4,0.8,0.4,0.3,0,0.4,1.1,1.7
Tianna Hawkins,Forward,156,5,12.9,2,4.3,0.475,0.4,1.1,0.33,1.7,3.1,0.528,0.7,0.8,0.849,1.1,1.9,3,0.4,0.4,0.2,0.9,2.2,5.1
Vanessa Hayden,Center,148,30,13.1,2.3,5.5,0.423,0,0,,2.3,5.5,0.423,1,1.7,0.592,1.2,2.4,3.6,0.5,0.3,1.2,1.3,2.9,5.6
Tiffany Hayes,Guard,216,175,27.8,4.3,10,0.428,1.1,3.4,0.32,3.2,6.6,0.485,3.8,4.8,0.801,0.9,2.5,3.4,2.3,1.1,0.3,1.6,2.7,13.5
Kristin Haynie,Guard,160,8,14.1,1.3,3.7,0.351,0.3,1,0.323,1,2.6,0.362,0.6,0.7,0.802,0.4,1.2,1.6,1.8,0.8,0.1,1.4,1.3,3.5
Dena Head,Guard,74,19,14.7,1.3,3.3,0.399,0.3,0.9,0.364,1,2.4,0.412,1,1.3,0.755,0.6,1.2,1.8,1.3,0.6,0.1,1.6,1.4,3.9
Nekeshia Henderson,Guard,23,0,7.8,0.4,1.7,0.237,0.3,1,0.273,0.1,0.7,0.188,0.1,0.3,0.286,0.2,0.7,0.9,1,0.3,0,0.7,0.2,1.1
Tracy Henderson,Center,61,0,8.6,0.7,2.3,0.312,0,0,,0.7,2.3,0.312,0.3,0.5,0.625,0.8,1.3,2.1,0.2,0.2,0.5,0.8,1.3,1.8
Sonja Henning,Guard,151,108,24.5,1.2,3.4,0.356,0.3,1.2,0.278,0.9,2.2,0.396,0.5,0.9,0.547,0.5,1.8,2.3,2.3,1.3,0.2,1.2,1.9,3.2
Aneika Henry-Morello,Forward-Center,147,32,14.2,1.7,3.5,0.495,0,0,,1.7,3.5,0.495,0.7,1,0.727,1.3,2.4,3.7,0.4,0.3,0.7,1,1.8,4.2
Amy Herrig,Center,85,4,12.4,1.2,2.6,0.462,0,0,0,1.2,2.6,0.464,0.9,1.3,0.71,0.8,1.6,2.3,0.4,0.3,0.4,1,1.4,3.3
Armintie Herrington,Guard,290,145,21.5,2.2,4.8,0.454,0,0,0.071,2.2,4.8,0.458,1.5,2.7,0.56,1.5,1.9,3.3,2,1.2,0.2,1.3,1.8,5.9
Katrina Hibbert,Guard-Forward,20,6,12,1,3,0.322,0.4,1.6,0.258,0.6,1.4,0.393,0.4,0.5,0.778,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.1,2.7
Jessie Hicks,Center-Forward,169,22,11.7,1.6,3.6,0.447,0,0,0,1.6,3.6,0.447,1,1.4,0.679,1,1.1,2.1,0.5,0.5,0.5,1.1,2.1,4.2
Allison Hightower,Guard,125,63,19.3,2.4,6.3,0.378,0.5,1.8,0.264,1.9,4.6,0.422,0.9,1.1,0.82,0.5,1.4,1.8,1.6,0.9,0.2,0.9,1.8,6.1
E.C. Hill,Guard,29,0,7.6,0.6,2,0.281,0.2,0.8,0.217,0.4,1.2,0.324,0.1,0.2,0.4,0.3,0.5,0.8,0.5,0.2,0,0.9,1.2,1.3
Tayler Hill,Guard,141,56,19.9,2.7,7.8,0.339,1.2,3.8,0.325,1.4,4.1,0.353,2.5,2.9,0.841,0.3,1.4,1.7,1.7,0.8,0.1,1.1,1.2,9
Myisha Hines-Allen,Forward,24,1,10.5,1.5,3.3,0.45,0,0.1,0.333,1.5,3.2,0.455,0.7,1.1,0.654,1.2,1.7,2.9,0.4,0.4,0.2,0.4,1.5,3.8
Korie Hlede,Guard,133,79,22.9,3.2,7.8,0.414,0.6,1.6,0.397,2.6,6.2,0.418,1.8,2.3,0.805,0.9,2,2.8,2.1,0.9,0.1,2.1,2.4,8.9
Roneeka Hodges,Guard,320,136,18.4,2.1,5.6,0.379,1.2,3.5,0.344,0.9,2,0.439,0.6,0.7,0.803,0.4,1.5,1.8,1.1,0.4,0.2,0.8,1,6
Ebony Hoffman,Forward,327,172,20,2.3,5.6,0.411,0.4,1,0.345,1.9,4.5,0.426,0.9,1.1,0.836,1.4,2.8,4.2,1.1,0.9,0.4,1.4,2.4,5.8
Chamique Holdsclaw,Forward,279,252,32.9,6.5,14.8,0.443,0.3,1,0.262,6.3,13.7,0.457,3.6,4.5,0.794,2.2,5.4,7.6,2.5,1.3,0.5,2.8,2.4,16.9
Kedra Holland-Corn,Guard,223,151,24.9,3,7.4,0.401,1.4,4,0.341,1.6,3.4,0.472,1.4,1.9,0.711,0.7,1.4,2.1,1.9,1.4,0.1,2,1.8,8.7
Quanitra Hollingsworth,Center,124,2,12.2,1.2,2.7,0.456,0,0,0,1.2,2.6,0.457,1.2,1.8,0.673,1.1,2.1,3.2,0.2,0.4,0.2,1.1,2,3.6
Rachel Hollivay,Center,39,2,8.2,0.4,1.1,0.364,0,0,,0.4,1.1,0.364,0.4,0.9,0.471,0.6,1.3,1.9,0.1,0.1,0.4,0.3,1.5,1.2
Bria Holmes,Forward,65,23,21.7,2.8,6.9,0.404,0.4,1.8,0.235,2.4,5.2,0.463,1.6,2.3,0.695,0.9,1.9,2.7,1.5,0.8,0.2,1.1,1.1,7.6
Sequoia Holmes,Guard,62,6,10.5,1,3.2,0.295,0.3,1.2,0.237,0.7,2,0.331,0.6,0.8,0.686,0.5,0.8,1.3,0.7,0.5,0.1,0.6,1,2.8
Joy Holmes-Harris,Forward,29,0,9.3,1.1,2.4,0.471,0.1,0.4,0.364,1,2,0.492,0.7,1,0.7,0.6,1,1.6,0.5,0.4,0.1,0.6,1.2,3.1
Amber Holt,Forward,140,92,20.8,2.4,6.4,0.375,0.7,2.4,0.293,1.7,4.1,0.423,1.4,1.7,0.806,0.8,2.1,2.9,1.8,0.6,0.1,0.9,1.7,6.9
Jordan Hooper,Forward,128,8,14.2,1.6,4.3,0.363,1.1,3.2,0.346,0.5,1.1,0.411,0.3,0.4,0.722,0.5,1.3,1.8,0.3,0.3,0.1,0.6,1,4.5
Andrea Hoover,Guard,12,1,14.3,1.3,3.9,0.319,0.7,2.3,0.286,0.6,1.6,0.368,0.6,0.6,1,0.3,1,1.3,0.3,0.2,0.1,0.7,1.5,3.8
Kym Hope,Center,3,0,1.3,0,0.3,0,0,0,,0,0.3,0,0.7,0.7,1,0,0.7,0.7,0,0,0,0.3,0,0.7
Chelsea Hopkins,Guard,11,4,11.4,0.4,2.2,0.167,0.1,0.4,0.25,0.3,1.8,0.15,0.4,0.5,0.8,0.2,1.7,1.9,1.6,0.5,0,1.1,0.5,1.2
Susie Hopson-Shelton,Forward,6,0,4.8,1.2,1.8,0.636,0,0,,1.2,1.8,0.636,0.3,0.3,1,0.2,0.7,0.8,0.2,0.2,0,0.3,0.5,2.7
Alexis Hornbuckle,Guard,187,57,19,1.7,4.8,0.351,0.5,1.6,0.33,1.2,3.3,0.361,0.7,1.2,0.639,1,2.2,3.2,1.8,1.2,0.3,1.5,2.4,4.6
Charde Houston,Forward,206,67,18.3,3.4,7.9,0.433,0.6,1.9,0.32,2.8,6,0.469,1.3,1.8,0.731,0.8,2.5,3.3,1.2,0.9,0.4,1.6,2.4,8.7
Ashley Houts,Guard,20,0,5.5,0.3,0.8,0.375,0.2,0.6,0.25,0.2,0.2,0.75,0.1,0.1,1,0.2,0.5,0.7,0.5,0.3,0,0.4,0.5,0.9
Jennifer Howard,Guard,4,0,3.8,0,1,0,0,0.8,0,0,0.3,0,0,0,,0,0,0,0,0,0,0.8,0.5,0
Natasha Howard,Forward,166,51,16.1,2.9,5.7,0.497,0.1,0.4,0.284,2.7,5.3,0.515,1.3,1.9,0.711,1.4,2.2,3.6,0.7,0.7,0.9,1.2,2.6,7.2
Brittany Hrynko,Guard,7,0,2.6,0.1,1,0.143,0,0.7,0,0.1,0.3,0.5,0,0,,0,0,0,0.1,0,0,0.1,0.4,0.3
Tasha Humphrey,Center,58,27,15.8,2.7,6.4,0.425,0.8,2.4,0.345,1.9,4,0.472,0.9,1.2,0.786,0.8,2.3,3.2,0.7,0.5,0.3,1.1,2.8,7.2
Ify Ibekwe,Forward,9,0,3.4,0.1,1.2,0.091,0,0.2,0,0.1,1,0.111,0.4,0.7,0.667,0.2,0.7,0.9,0,0.1,0,0.3,0.6,0.7
Sandora Irvin,Forward,111,2,7.1,0.6,1.9,0.333,0.1,0.3,0.194,0.6,1.7,0.357,0.4,0.6,0.694,0.8,1.2,2,0.3,0.2,0.5,0.4,1.3,1.7
Dalma Ivanyi,Guard,106,32,14,0.7,2.3,0.322,0.4,1.2,0.305,0.3,1,0.343,0.3,0.4,0.717,0.3,1.2,1.5,1.8,0.6,0,1.3,1.7,2.1
Niele Ivey,Guard,131,71,17,1,2.8,0.354,0.7,1.9,0.36,0.3,0.9,0.341,0.4,0.5,0.818,0.3,0.8,1.1,1.7,0.7,0.1,0.8,1.3,3.1
Angela Jackson,Center,6,0,6,0.5,1,0.5,0,0,,0.5,1,0.5,0.7,1,0.667,0.5,0.2,0.7,0,0.2,0.3,0,1.2,1.7
Deanna Jackson,Forward,142,55,17.7,2.1,5.3,0.394,0.2,0.6,0.33,1.9,4.7,0.403,1.4,2,0.706,1.2,1.4,2.6,1,0.5,0.2,1,2,5.8
Gwen Jackson,Forward,77,32,19.8,2.2,5.3,0.427,0.1,0.5,0.2,2.1,4.7,0.452,1.1,1.6,0.659,1.6,2.4,4,0.5,0.3,0.3,0.9,1.7,5.7
Lauren Jackson,Forward-Center,317,317,32,6.6,14.3,0.46,1.4,3.9,0.351,5.2,10.4,0.501,4.4,5.2,0.842,2.2,5.5,7.7,1.4,1.1,1.8,1.7,3.1,18.9
Tamicha Jackson,Guard,151,59,19.5,2.7,7.4,0.37,0.6,1.9,0.297,2.2,5.5,0.395,0.8,1.1,0.71,0.5,1.2,1.7,2.6,1.2,0,1.6,1.5,6.8
Tammy Jackson,Forward-Center,143,9,13.6,1.1,2.4,0.461,0,0,0.5,1.1,2.4,0.461,0.6,1,0.577,1.1,1.7,2.8,0.4,0.7,0.4,1,2.2,2.8
Tia Jackson,Forward,26,6,12.3,1,2.8,0.342,0.1,0.3,0.375,0.8,2.5,0.338,0.8,1,0.84,0.9,1.2,2.1,1,0.9,0.3,1.4,1.2,2.8
Tiffany Jackson-Jones,Forward,225,69,18.3,2.3,5.1,0.443,0,0,0.333,2.3,5.1,0.444,1.6,2.3,0.712,1.5,3,4.5,0.9,0.8,0.3,1.6,1.8,6.2
Amber Jacobs,Guard,139,37,15.8,1.5,3.9,0.381,0.7,2.1,0.342,0.8,1.8,0.427,0.7,0.9,0.792,0.2,1,1.3,2.1,0.5,0,1.7,1.3,4.4
Jasmine James,Guard,16,1,11.9,1.1,3.4,0.333,0,0.5,0,1.1,2.9,0.391,0.8,1.1,0.722,0.3,1.1,1.4,1.8,0.9,0.1,1.2,1.1,3.1
Tamara James,Guard-Forward,52,9,10.7,1.4,3.5,0.388,0.4,1.2,0.339,1,2.3,0.413,1.2,1.4,0.859,0.5,0.8,1.3,0.7,0.6,0.1,0.7,1.1,4.3
Briann January,Guard,283,223,26.5,2.8,7.3,0.385,1,2.7,0.382,1.8,4.7,0.386,2.1,2.5,0.845,0.5,1.4,1.9,3.6,1.1,0.2,2.1,2.5,8.7
Rachel Jarry,Forward,27,0,6.8,0.6,1.3,0.444,0.2,0.4,0.6,0.4,1,0.385,0.3,0.3,0.778,0.3,0.4,0.7,0.4,0.2,0.1,0.5,1,1.7
Moriah Jefferson,Guard,71,43,25.3,4.2,9.5,0.442,0.6,1.7,0.366,3.6,7.8,0.459,1.5,1.9,0.774,0.4,1.5,1.8,3.8,1.4,0.1,1.7,1.8,10.5
Anete Jekabsone-Zogota,Guard,78,30,17.1,2.3,5.9,0.387,1,2.9,0.36,1.3,3,0.414,0.6,0.7,0.887,0.2,1.5,1.7,1.6,0.3,0.1,1.2,1.7,6.2
Cathy Joens,Guard-Forward,45,0,12.1,1.4,3.8,0.382,1,2.4,0.418,0.4,1.3,0.317,0.4,0.5,0.857,0.2,1.3,1.5,1,0.5,0.1,0.8,1,4.3
Pollyanna Johns Kimbrough,Center,134,32,12.9,1.2,2.3,0.498,0,0,,1.2,2.3,0.498,0.9,1.5,0.622,1,1.5,2.5,0.5,0.3,0.2,0.8,1.2,3.2
Adrienne Johnson,Guard,181,38,16.8,2.3,5.6,0.41,0.6,1.7,0.343,1.7,3.9,0.438,0.5,0.6,0.783,0.6,1,1.6,0.7,0.4,0.1,0.9,1.1,5.6
Chandra Johnson,Center,8,0,5.6,0.1,0.6,0.2,0.1,0.6,0.2,0,0,,0.4,0.5,0.75,0.3,0.5,0.8,0.4,0,0.1,0.5,0.8,0.8
Glory Johnson,Forward,176,145,28.9,4.5,10,0.452,0.2,0.8,0.305,4.3,9.2,0.465,3.4,4.6,0.739,2.6,5.5,8.1,1.3,1.3,0.5,2,2.7,12.7
Jaclyn Johnson,Forward,17,1,8.2,0.8,1.5,0.56,0.2,0.4,0.429,0.6,1.1,0.611,0.2,0.3,0.8,0.6,0.8,1.4,0.5,0.2,0.2,1,1.2,2.1
LaTonya Johnson,Forward,179,34,14,1.3,3.8,0.353,0.4,1.4,0.283,0.9,2.3,0.397,0.8,1.1,0.715,0.3,0.9,1.3,0.7,0.3,0.1,0.9,1.5,3.8
Leslie Johnson,Forward,7,0,2.1,0.1,0.3,0.5,0,0,,0.1,0.3,0.5,0,0,,0,0.1,0.1,0.1,0,0,0.6,0.9,0.3
Niesa Johnson,Guard,37,0,10.1,0.6,1.8,0.358,0.2,0.8,0.286,0.4,1.1,0.41,0.5,0.5,0.944,0.1,0.5,0.6,1.5,0.4,0.1,1,0.6,2
Shannon Johnson,Guard,352,292,29.5,3.2,8,0.395,0.9,2.7,0.333,2.3,5.3,0.426,2.9,3.8,0.764,0.9,2.3,3.2,4,1.4,0.2,2.7,2.3,10.1
Shenise Johnson,Guard,171,76,22.4,3.2,7.9,0.411,0.8,2.1,0.357,2.5,5.8,0.431,1.6,1.9,0.854,1.2,2.7,3.9,2,1.1,0.2,1.5,1.6,8.9
Temeka Johnson,Guard,327,255,24.3,3,7.4,0.407,0.6,1.7,0.345,2.4,5.7,0.426,1.4,1.7,0.825,0.4,2.3,2.7,4.2,1,0.1,2.1,2.1,8
